species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Haematopus_longirostris,CHARADRIIFORMES,1.459,6.377,0.226,Resident.LowLat,0,0.03,1.477,1.488,1.477,0.014,0.01,-1.178,-0.012,0,1,0,0.002,NA,NA,precocial,Monogamous,NA,NA
Haematopus_ostralegus,CHARADRIIFORMES,1.47,6.243,0.303,Migrant.Short,3618.058,NA,1.203,1.332,1.358,0.053,0.012,NA,NA,0,1,0,0.001,25.5,30,precocial,Polygamous,Solitary,Aggregation
Halcyon_smyrnensis,CORACIIFORMES,0.581,4.446,0.327,Resident.LowLat,0,0.539,1.451,1.532,1.451,0.021,0.01,1.038,-2.112,0,1,0,0.002,NA,19,altricial,Monogamous,Solitary,NA
Haliaeetus_leucocephalus,ACCIPITRIFORMES,2.886,8.383,0.616,Migrant.Short,2185.254,NA,1.076,1.282,1.324,0.095,0.019,NA,NA,0,0,1,0,35,75.25,semialtricial,Monogamous,Solitary,Solitary
Haliaeetus_leucogaster,ACCIPITRIFORMES,2.575,8.107,0.445,Resident.LowLat,0,0.007,1.557,1.556,1.557,0.014,0.012,-0.446,1.077,0,0,0,0,37.5,67.5,semialtricial,Monogamous,Solitary,Solitary
Haliastur_indus,ACCIPITRIFORMES,1.877,6.178,0.742,Resident.LowLat,0,0.016,1.524,1.562,1.524,0.019,0.011,-0.378,-0.142,0,1,1,0.001,29,52.75,semialtricial,Monogamous,Solitary,Solitary
Harpactes_ardens,TROGONIFORMES,0.718,4.658,0.354,Resident.MidLat,0,0,1.673,1.713,1.673,0.012,0.013,-0.377,1.909,0,1,1,0,NA,NA,altricial,NA,NA,NA
Harpactes_erythrocephalus,TROGONIFORMES,0.602,4.311,0.417,Resident.MidLat,0,0.237,1.523,1.63,1.523,0.026,0.012,1.898,-0.46,1,1,1,0.076,NA,NA,altricial,Monogamous,Solitary,NA
Harpagus_bidentatus,ACCIPITRIFORMES,1.322,5.235,0.662,Resident.LowLat,0,0,1.688,1.667,1.688,0.014,0.013,-0.051,1.792,0,1,1,0.002,NA,NA,semialtricial,Monogamous,Solitary,NA
Helmitheros_vermivorum,PASSERIFORMES,-0.538,2.434,0.259,Migrant.Short,2168.903,NA,1.514,1.551,1.574,0.038,0.013,NA,NA,0,1,1,0,13,9.7,altricial,Monogamous,Solitary,Solitary
