species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Poliocephalus_poliocephalus,PODICIPEDIFORMES,0.536,5.409,-0.212,Migrant.Short,1201.93,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.001,22.5,NA,precocial,Monogamous,NA,NA
Polioptila_caerulea,PASSERIFORMES,-1.347,1.569,-0.105,Migrant.Short,1663.561,NA,1.419,1.474,1.446,0.034,0.01,NA,NA,0,1,1,0,13,12,altricial,Monogamous,Solitary,NA
Polysticta_stelleri,ANSERIFORMES,1.658,6.792,0.216,Migrant.Short,1775.854,NA,1.003,1.107,1,0.175,0.016,NA,NA,0,1,0,0.019,26.5,0.1,precocial,Monogamous,Solitary,Aggregation
Polytelis_alexandrae,PSITTACIFORMES,1.065,4.29,0.891,Resident.MidLat,0,0,1.308,1.323,1.308,0.002,0.006,-5.009,-2.024,0,0,0,0.098,22,38.5,altricial,Monogamous,NA,NA
Polytelis_anthopeplus,PSITTACIFORMES,1.163,5.175,0.532,Resident.MidLat,0,0,1.384,1.349,1.384,0.012,0.008,-2.398,-1.082,1,0,0,0.135,21.25,42,altricial,Monogamous,Colonial,NA
Polytelis_swainsonii,PSITTACIFORMES,1.242,4.96,0.72,Migrant.Short,335.956,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.128,20.5,40,altricial,Monogamous,NA,NA
Pomatorhinus_ruficollis,PASSERIFORMES,0.574,3.738,0.685,Resident.LowLat,0,0.324,1.592,1.483,1.592,0.034,0.011,3.129,-1.56,1,1,1,0.185,NA,NA,altricial,Monogamous,NA,NA
Pomatostomus_halli,PASSERIFORMES,0.47,3.624,0.641,Resident.MidLat,0,0,1.315,1.34,1.315,0.004,0.008,-3.664,-0.553,0,1,0,0,NA,NA,altricial,Monogamous,Solitary,NA
Pomatostomus_isidorei,PASSERIFORMES,0.777,4.159,0.671,Resident.LowLat,0,0,1.701,1.697,1.701,0.01,0.014,-0.196,2.739,0,1,1,0.001,NA,NA,altricial,Monogamous,Solitary,NA
Pomatostomus_superciliosus,PASSERIFORMES,0.422,3.62,0.596,Resident.MidLat,0,0.001,1.358,1.35,1.358,0.007,0.009,-3.045,-0.458,1,1,1,0.169,17.75,16.5,altricial,Monogamous,Solitary,Bonded
Pooecetes_gramineus,PASSERIFORMES,-0.242,3.258,0.122,Migrant.Short,1863.594,NA,1.239,1.392,1.411,0.049,0.013,NA,NA,0,1,0,0.129,12,9.25,altricial,Monogamous,Solitary,Solitary
Poospiza_nigrorufa,PASSERIFORMES,-0.353,2.855,0.222,Resident.MidLat,0,0.005,1.526,1.562,1.526,0.018,0.012,-0.002,0.782,NA,NA,NA,NA,NA,NA,altricial,NA,NA,NA
Porphyrio_martinica,GRUIFORMES,0.875,5.384,0.14,Migrant.Short,1658.262,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0.149,23.5,2.5,precocial,NA,NA,NA
Porphyrio_porphyrio,GRUIFORMES,1.549,6.64,0.183,Resident.LowLat,0,0.096,1.494,1.502,1.494,0.02,0.01,-0.107,-0.632,0,0,0,0.135,24.75,31.5,precocial,Monogamous,Facultative,Bonded
Porzana_atra,GRUIFORMES,0.243,4.401,0.012,Resident.MidLat,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.001,21,NA,precocial,NA,NA,NA
Porzana_fluminea,GRUIFORMES,0.025,3.99,0.006,Resident.MidLat,0,0.008,1.404,1.384,1.404,0.01,0.011,-1.731,0.584,0,1,0,0.148,NA,NA,precocial,NA,NA,NA
Prionochilus_plateni,PASSERIFORMES,-0.886,2.064,0.103,Resident.LowLat,0,0,1.734,1.681,1.734,0.012,0.014,0.196,2.67,1,0,1,0.104,NA,NA,altricial,NA,Solitary,NA
Prionops_plumatus,PASSERIFORMES,0.203,3.57,0.403,Resident.LowLat,0,0,1.503,1.485,1.503,0.028,0.01,0.593,-1.216,0,1,0,0.001,13,18,altricial,Monogamous,Solitary,Aggregation
Progne_subis,PASSERIFORMES,0.095,3.487,0.34,Migrant.Long,7334.486,NA,1.393,1.477,1.603,0.05,0.012,NA,NA,0,1,1,0,16.5,28.25,altricial,Monogamous,Facultative,Aggregation
Prunella_modularis,PASSERIFORMES,-0.236,3.118,0.202,Migrant.Short,2288.047,NA,1.167,1.354,1.402,0.085,0.017,NA,NA,0,1,0,0.131,12.5,11.75,altricial,Facultative,Solitary,Solitary
Psaltriparus_minimus,PASSERIFORMES,-1.036,1.732,0.123,Resident.MidLat,0,3.054,1.35,1.415,1.35,0.026,0.011,5.639,-4.673,0,1,1,0.073,12.5,18,altricial,Monogamous,Solitary,Aggregation
Psarocolius_montezuma,PASSERIFORMES,1.771,5.931,0.756,Resident.LowLat,0,0,1.635,1.725,1.635,0.016,0.013,0.095,1.486,1,1,1,0.131,14,30,altricial,Polygamous,Colonial,Aggregation
Psephotus_chrysopterygius,PSITTACIFORMES,0.405,3.616,0.581,Resident.LowLat,0,0,1.421,1.518,1.421,0.013,0.006,-3.281,-2.494,0,0,1,0.098,19.5,31.5,altricial,Monogamous,NA,NA
Psephotus_dissimilis,PSITTACIFORMES,0.501,3.401,0.789,Resident.MidLat,0,0,1.397,1.487,1.397,0.014,0.007,-2.84,-2.297,0,0,1,0,20.3,30.5,altricial,Monogamous,NA,NA
Psephotus_haematonotus,PSITTACIFORMES,0.704,4.08,0.638,Resident.MidLat,0,0.005,1.451,1.418,1.451,0.013,0.014,-0.065,2.229,0,0,0,0.115,19.75,30,altricial,Monogamous,NA,NA
Psephotus_varius,PSITTACIFORMES,0.549,4.038,0.505,Resident.MidLat,0,0,1.339,1.336,1.339,0.006,0.008,-3.508,-0.872,0,0,0,0.057,20,30,altricial,Monogamous,NA,NA
Pseudocolopteryx_flaviventris,PASSERIFORMES,-1.079,2.001,-0.059,Migrant.Short,810.487,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,altricial,Monogamous,Solitary,Aggregation
Pseudoleistes_virescens,PASSERIFORMES,0.71,4.254,0.554,Resident.MidLat,0,0.007,1.525,1.552,1.525,0.018,0.013,0.639,1.513,0,1,0,0.057,NA,NA,altricial,Monogamous,Colonial,NA
Pseudotriccus_pelzelni,PASSERIFORMES,-0.478,2.303,0.388,Resident.LowLat,0,0.002,1.671,1.671,1.671,0.014,0.013,-0.307,1.437,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Psittacula_columboides,PSITTACIFORMES,1.194,4.5,0.913,Resident.MidLat,0,0,1.617,1.512,1.617,0.018,0.011,-0.419,0.012,1,0,1,0.176,27,49,altricial,Monogamous,NA,NA
Psittacula_cyanocephala,PSITTACIFORMES,0.975,4.094,0.902,Resident.MidLat,0,0.007,1.411,1.536,1.411,0.025,0.009,-0.038,-1.531,1,0,1,0.176,24,42,altricial,Monogamous,Colonial,Aggregation
Psittacula_krameri,PSITTACIFORMES,1.305,4.789,0.875,Resident.LowLat,0,0.087,1.39,1.512,1.39,0.025,0.008,-0.048,-2.193,1,0,1,0.17,23,49,altricial,Monogamous,Facultative,Aggregation
Psittaculirostris_edwardsii,PSITTACIFORMES,1.209,4.507,0.924,Resident.LowLat,0,0,1.717,1.726,1.717,0.011,0.015,0.141,2.883,1,0,1,0,19,56,altricial,Monogamous,NA,NA
Psitteuteles_versicolor,PSITTACIFORMES,0.615,4.034,0.573,Resident.LowLat,0,0,1.367,1.448,1.367,0.012,0.007,-2.879,-1.694,0,0,0,0,21.5,41,altricial,Monogamous,NA,NA
Psophodes_cristatus,PASSERIFORMES,0.336,3.651,0.494,Resident.MidLat,0,0,1.316,1.322,1.316,0.004,0.008,-3.837,-0.689,0,1,0,0.173,NA,NA,altricial,NA,NA,NA
Psophodes_olivaceus,PASSERIFORMES,0.781,4.139,0.685,Resident.MidLat,0,0.017,1.53,1.548,1.53,0.012,0.014,-0.268,2.07,1,1,1,0.145,17,12,altricial,Monogamous,Solitary,Aggregation
Pteroglossus_castanotis,PICIFORMES,1.447,5.455,0.674,Resident.LowLat,0,0,1.657,1.66,1.657,0.016,0.012,-0.139,1.113,1,1,1,0.116,NA,NA,altricial,NA,NA,NA
Pteroglossus_torquatus,PICIFORMES,1.269,5.416,0.517,Resident.LowLat,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.065,16,44,altricial,NA,NA,NA
Ptilinopus_insularis,COLUMBIFORMES,0.068,4.63,-0.282,Resident.MidLat,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_leclancheri,COLUMBIFORMES,0.465,5.244,-0.2,Resident.LowLat,0,0,1.706,1.653,1.706,0.013,0.013,-0.206,1.85,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_magnificus,COLUMBIFORMES,0.746,5.767,-0.187,Resident.LowLat,0,0,1.623,1.649,1.623,0.011,0.013,-0.567,1.918,1,0,1,0,13,7,altricial,Monogamous,NA,NA
Ptilinopus_occipitalis,COLUMBIFORMES,0.742,5.347,0.026,Resident.LowLat,0,0,1.655,1.703,1.655,0.013,0.013,-0.249,1.815,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_ornatus,COLUMBIFORMES,0.531,5.001,-0.013,Resident.LowLat,0,0,1.699,1.693,1.699,0.011,0.015,0.146,3.103,1,0,1,0,NA,NA,altricial,Monogamous,NA,Aggregation
Ptilinopus_porphyraceus,COLUMBIFORMES,0.262,4.779,-0.162,Resident.LowLat,0,0.002,1.764,1.778,1.764,0.01,0.013,-0.753,2.012,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_pulchellus,COLUMBIFORMES,0.049,4.234,-0.096,Resident.LowLat,0,0,1.714,1.712,1.714,0.011,0.015,0.293,3.29,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_regina,COLUMBIFORMES,0.223,4.602,-0.111,Resident.LowLat,0,0,1.471,1.57,1.471,0.015,0.01,-1.497,-0.497,1,0,1,0,17,12,altricial,Monogamous,Solitary,Bonded
Ptilinopus_rivoli,COLUMBIFORMES,0.372,4.97,-0.156,Resident.LowLat,0,0,1.701,1.702,1.701,0.011,0.015,0.011,2.866,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Ptilinopus_superbus,COLUMBIFORMES,0.08,4.64,-0.274,Resident.LowLat,0,0,1.701,1.702,1.701,0.01,0.014,-0.162,2.737,1,0,1,0,14,7,altricial,Monogamous,NA,NA
Ptilonorhynchus_violaceus,PASSERIFORMES,1.536,5.3,0.844,Resident.MidLat,0,0.014,1.531,1.532,1.531,0.013,0.014,0.213,2.461,1,1,1,0.171,21.1,19.5,altricial,Polygamous,Solitary,Aggregation
Ptiloprora_guisei,PASSERIFORMES,-0.092,3.122,0.344,Resident.LowLat,0,0,1.634,1.639,1.634,0.01,0.014,-0.603,2.259,1,1,1,0.073,NA,NA,altricial,NA,NA,NA
Ptiloris_magnificus,PASSERIFORMES,1.03,5.094,0.441,Resident.LowLat,0,0,1.698,1.7,1.698,0.011,0.015,-0.035,2.821,1,1,1,0.073,15,NA,altricial,Polygamous,NA,NA
Ptiloris_paradiseus,PASSERIFORMES,1.021,4.832,0.568,Resident.MidLat,0,0,1.516,1.571,1.516,0.011,0.012,-1.065,1.212,1,1,1,0.073,17,28,altricial,Polygamous,Solitary,Solitary
Ptiloris_victoriae,PASSERIFORMES,0.931,4.523,0.638,Resident.LowLat,0,0,1.541,1.623,1.541,0.013,0.01,-1.522,0.014,1,1,1,0.144,18.25,14,altricial,Polygamous,Solitary,Bonded
Pycnoptilus_floccosus,PASSERIFORMES,0.168,3.44,0.437,Resident.MidLat,0,0.03,1.568,1.522,1.568,0.013,0.016,0.865,3.165,0,1,1,0.073,NA,NA,altricial,NA,NA,NA
Pyriglena_leuconota,PASSERIFORMES,-0.064,3.49,0.179,Resident.LowLat,0,0.009,1.621,1.661,1.621,0.018,0.013,0.297,1.06,0,1,1,0.001,NA,NA,altricial,Monogamous,Solitary,NA
Pyrilia_caica,PSITTACIFORMES,1.209,4.911,0.713,Resident.LowLat,0,0,1.649,1.699,1.649,0.013,0.014,-0.143,2.138,0,0,1,0.056,NA,NA,altricial,Monogamous,NA,NA
Pyrilia_haematotis,PSITTACIFORMES,1.308,4.987,0.772,Resident.LowLat,0,0,1.666,1.737,1.666,0.014,0.013,-0.041,1.797,1,0,1,0.135,NA,NA,altricial,Monogamous,NA,NA
Pyrrholaemus_brunneus,PASSERIFORMES,-0.598,2.442,0.195,Resident.LowLat,0,0,1.325,1.329,1.325,0.005,0.007,-4.119,-1.487,0,1,0,0.173,NA,NA,altricial,NA,NA,NA
Pyrrhura_frontalis,PSITTACIFORMES,0.693,3.892,0.725,Resident.MidLat,0,0,1.533,1.617,1.533,0.021,0.012,0.355,0.468,1,1,1,0.153,30,45,altricial,Monogamous,NA,NA
Querula_purpurata,PASSERIFORMES,0.754,4.623,0.408,Resident.LowLat,0,0,1.708,1.683,1.708,0.013,0.013,-0.354,1.574,1,1,1,0.073,25,32.5,altricial,Polygamous,Facultative,Bonded
Quiscalus_major,PASSERIFORMES,1.22,5.162,0.596,Resident.MidLat,0,0.238,1.504,1.524,1.504,0.02,0.009,-0.202,-1.859,0,1,0,0.137,13.1,21.5,altricial,Polygamous,Colonial,Bonded
Quiscalus_mexicanus,PASSERIFORMES,1.119,5.19,0.481,Resident.MidLat,0,1.472,1.422,1.479,1.422,0.022,0.011,3.342,-2.832,1,1,0,0.15,13.5,16.75,altricial,Polygamous,Colonial,Aggregation
Quiscalus_quiscula,PASSERIFORMES,0.952,4.702,0.566,Migrant.Short,1948.77,NA,1.181,1.375,1.391,0.052,0.015,NA,NA,0,1,1,0.123,13.835,16.25,altricial,Facultative,Facultative,Aggregation
Rallus_aquaticus,GRUIFORMES,0.549,4.557,0.238,Migrant.Short,2737.421,NA,1.215,1.364,1.443,0.063,0.014,NA,NA,1,1,0,0.139,20.5,27.75,precocial,Monogamous,Solitary,Solitary
Ramphastos_sulfuratus,PICIFORMES,1.634,6.052,0.562,Resident.LowLat,0,0,1.632,1.732,1.632,0.017,0.014,0.623,1.813,1,1,1,0.065,16.5,46.5,altricial,NA,NA,Pair
Ramphastos_vitellinus,PICIFORMES,1.569,5.994,0.524,Resident.LowLat,0,0,1.682,1.673,1.682,0.014,0.013,-0.322,1.433,1,1,1,0.131,16.25,43.9,altricial,NA,Solitary,NA
Ramphocaenus_melanurus,PASSERIFORMES,-0.683,2.285,0.192,Resident.LowLat,0,0,1.685,1.66,1.685,0.014,0.013,-0.231,1.505,0,1,1,0,16.5,11.5,altricial,Monogamous,NA,NA
Ramphocelus_flammigerus,PASSERIFORMES,0.181,3.425,0.458,Resident.LowLat,0,0,1.709,1.696,1.709,0.015,0.013,-0.082,1.4,1,1,1,0.073,12.5,13,altricial,NA,NA,NA
Ramsayornis_modestus,PASSERIFORMES,-0.671,2.42,0.134,Resident.LowLat,0,0,1.527,1.601,1.527,0.013,0.01,-1.702,-0.204,0,1,1,0.148,15,12.7,altricial,Monogamous,Facultative,Bonded
Recurvirostra_americana,CHARADRIIFORMES,0.741,5.786,-0.2,Migrant.Short,2260.679,NA,1.258,1.35,1.423,0.042,0.012,NA,NA,0,1,0,0.153,24.2,15.8,precocial,Monogamous,Facultative,Aggregation
Recurvirostra_avosetta,CHARADRIIFORMES,0.56,5.04,-0.004,Migrant.Long,6415.835,NA,1.209,1.304,1.365,0.043,0.011,NA,NA,0,1,0,0.019,24,38.5,precocial,Monogamous,Colonial,Aggregation
Recurvirostra_novaehollandiae,CHARADRIIFORMES,0.696,5.612,-0.155,Resident.MidLat,0,0.001,1.444,1.369,1.444,0.018,0.013,0.241,1.18,0,1,0,0.173,NA,0.1,precocial,NA,NA,NA
Regulus_calendula,PASSERIFORMES,-1.155,2.015,-0.142,Migrant.Short,2624.233,NA,1.084,1.287,1.408,0.095,0.016,NA,NA,0,1,1,0.073,12.75,14.75,altricial,Monogamous,Solitary,Aggregation
Regulus_satrapa,PASSERIFORMES,-0.994,1.732,0.164,Migrant.Short,1797.206,NA,1.097,1.336,1.395,0.088,0.019,NA,NA,0,1,1,0,14.5,17,altricial,Monogamous,Solitary,Aggregation
Reinwardtoena_browni,COLUMBIFORMES,0.742,5.753,-0.184,Resident.LowLat,0,0.001,1.772,1.769,1.772,0.01,0.016,0.36,3.547,1,0,1,0,NA,NA,altricial,Monogamous,NA,NA
Rhinomyias_gularis,PASSERIFORMES,0.095,3.395,0.388,Resident.MidLat,0,0,1.68,1.663,1.68,0.012,0.018,1.767,4.982,0,1,1,0.173,NA,NA,altricial,NA,NA,NA
Rhipidura_atra,PASSERIFORMES,-0.562,2.351,0.279,Resident.LowLat,0,0,1.669,1.659,1.669,0.011,0.015,0.055,2.893,0,1,1,0,NA,NA,altricial,NA,NA,NA
Rhipidura_fuliginosa,PASSERIFORMES,-0.981,2.134,-0.028,Migrant.Short,1758.004,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.073,14,12.5,altricial,Monogamous,Solitary,Aggregation
Rhipidura_rufifrons,PASSERIFORMES,-1.032,2.326,-0.178,Migrant.Short,1641.565,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,15.5,11.25,altricial,Monogamous,Solitary,NA
Rhipidura_rufiventris,PASSERIFORMES,-0.598,2.744,0.036,Resident.LowLat,0,0,1.531,1.581,1.531,0.012,0.01,-1.643,0.121,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Rhodinocichla_rosea,PASSERIFORMES,0.294,3.843,0.351,Resident.LowLat,0,0,1.539,1.695,1.539,0.024,0.012,1.081,0.44,1,1,1,0.077,NA,NA,altricial,Monogamous,NA,NA
Riparia_riparia,PASSERIFORMES,-0.968,2.518,-0.214,Migrant.Long,7398.381,NA,1.161,1.311,1.517,0.103,0.015,NA,NA,0,1,0,0,14.5,20.1,altricial,Monogamous,Colonial,Aggregation
Rollandia_rolland,PODICIPEDIFORMES,0.668,5.323,-0.035,Resident.MidLat,0,0.569,1.416,1.467,1.416,0.018,0.011,1.161,-1.291,0,1,0,0.002,NA,NA,precocial,NA,NA,NA
Rostratula_benghalensis,CHARADRIIFORMES,0.352,4.923,-0.15,Resident.LowLat,0,0.084,1.513,1.487,1.513,0.025,0.01,0.55,-1.265,0,1,0,0.173,19,0.1,precocial,Polygamous,Solitary,Solitary
Rynchops_niger,CHARADRIIFORMES,0.916,5.463,0.139,Migrant.Short,4278.638,NA,1.458,1.514,1.469,0.032,0.013,NA,NA,0,1,0,0.001,23,18.5,semiprecocial,Monogamous,Colonial,NA
Sagittarius_serpentarius,ACCIPITRIFORMES,2.691,8.111,0.559,Resident.LowLat,0,0,1.444,1.451,1.444,0.022,0.009,-0.646,-1.518,0,1,0,0.002,43.75,83,semialtricial,Monogamous,Solitary,Solitary
Sakesphorus_luctuosus,PASSERIFORMES,0.17,3.434,0.442,Resident.LowLat,0,0,1.694,1.675,1.694,0.015,0.012,-0.63,0.847,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Salpinctes_obsoletus,PASSERIFORMES,-0.382,2.771,0.238,Migrant.Short,1113.262,NA,1.223,1.333,1.453,0.051,0.011,NA,NA,0,1,0,0.001,13,15,altricial,Monogamous,Solitary,NA
Saltator_maximus,PASSERIFORMES,0.324,3.842,0.382,Resident.LowLat,0,0,1.674,1.661,1.674,0.015,0.013,-0.21,1.383,1,1,1,0.076,13.5,13.9,altricial,Monogamous,NA,Aggregation
Sarcops_calvus,PASSERIFORMES,1.056,4.888,0.573,Resident.LowLat,0,0,1.706,1.65,1.706,0.013,0.013,-0.221,1.809,1,0,1,0.024,20,NA,altricial,Monogamous,Colonial,NA
Sasia_abnormis,PICIFORMES,-0.545,2.092,0.429,Resident.LowLat,0,0,1.699,1.694,1.699,0.012,0.014,-0.095,2.373,0,1,1,0,NA,NA,altricial,NA,NA,Aggregation
Saxicola_torquatus,PASSERIFORMES,-0.478,2.557,0.255,Migrant.Short,4198.493,NA,1.161,1.292,1.367,0.072,0.012,NA,NA,0,1,0,0.069,13.75,13.75,altricial,Monogamous,Solitary,Pair
Sayornis_saya,PASSERIFORMES,-0.58,3.102,-0.134,Migrant.Short,3558.721,NA,1.151,1.267,1.408,0.077,0.013,NA,NA,0,1,0,0.024,15,16.3,altricial,Monogamous,Solitary,NA
Scenopoeetes_dentirostris,PASSERIFORMES,1.253,4.984,0.718,Resident.LowLat,0,0,1.59,1.636,1.59,0.01,0.01,-1.842,0.308,1,1,1,0.058,NA,NA,altricial,NA,NA,NA
Schiffornis_turdina,PASSERIFORMES,0.086,3.426,0.362,Resident.LowLat,0,0,1.701,1.675,1.701,0.013,0.013,-0.263,1.692,1,1,1,0.073,20.5,20,altricial,Monogamous,Solitary,Solitary
Schistocichla_leucostigma,PASSERIFORMES,-0.016,3.144,0.408,Resident.LowLat,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,altricial,NA,NA,NA
Sclerurus_mexicanus,PASSERIFORMES,-0.231,3.05,0.242,Resident.LowLat,0,0,1.705,1.676,1.705,0.013,0.013,-0.216,1.851,0,1,1,0,21,15,altricial,Monogamous,Solitary,Solitary
Scolopax_minor,CHARADRIIFORMES,0.665,5.186,0.029,Migrant.Short,1737.65,NA,1.31,1.49,1.49,0.059,0.013,NA,NA,0,1,0,0,20.75,7.3,precocial,Polygamous,Solitary,NA
Scytalopus_unicolor,PASSERIFORMES,-0.105,2.862,0.466,Resident.LowLat,0,0,1.43,1.543,1.43,0.014,0.007,-2.639,-2.057,NA,NA,NA,NA,NA,NA,altricial,NA,NA,NA
Scythrops_novaehollandiae,CUCULIFORMES,1.677,6.64,0.311,Migrant.Short,1654.124,NA,1.481,1.478,1.67,0.081,0.011,NA,NA,1,1,1,0.065,NA,NA,altricial,NA,NA,NA
Seiurus_aurocapilla,PASSERIFORMES,-0.357,3.012,0.136,Migrant.Short,3229.858,NA,1.261,1.442,1.517,0.059,0.015,NA,NA,0,1,1,0.099,12.2,8.75,altricial,NA,NA,NA
Selasphorus_rufus,APODIFORMES,-1.884,1.163,-0.432,Migrant.Short,4103.776,NA,1.143,1.29,1.417,0.073,0.013,NA,NA,0,0,1,0.049,16,20,altricial,Polygamous,Facultative,NA
Sericornis_citreogularis,PASSERIFORMES,-0.217,2.811,0.382,Resident.LowLat,0,0.002,1.597,1.547,1.597,0.009,0.011,-1.918,0.526,1,1,1,0.165,NA,NA,altricial,Monogamous,NA,NA
Sericornis_frontalis,PASSERIFORMES,-0.217,2.58,0.504,Resident.MidLat,0,0.005,1.47,1.436,1.47,0.015,0.013,-0.173,1.292,1,1,1,0.165,17.5,13,altricial,Facultative,Solitary,Aggregation
Sericornis_magnirostra,PASSERIFORMES,-0.51,2.135,0.441,Resident.MidLat,0,0.002,1.524,1.577,1.524,0.01,0.012,-1.336,0.989,0,1,1,0,NA,NA,altricial,Monogamous,NA,NA
Sericornis_perspicillatus,PASSERIFORMES,-0.598,2.14,0.352,Resident.LowLat,0,0,1.645,1.633,1.645,0.011,0.014,-0.198,2.586,0,1,1,0,NA,NA,altricial,NA,NA,NA
Sericulus_chrysocephalus,PASSERIFORMES,1.15,4.566,0.835,Resident.MidLat,0,0,1.548,1.609,1.548,0.011,0.011,-1.743,0.34,1,1,1,0.171,21,20.5,altricial,Polygamous,NA,NA
Serinus_flaviventris,PASSERIFORMES,-0.139,2.976,0.373,Resident.MidLat,0,0.001,1.337,1.396,1.337,0.012,0.007,-2.899,-1.692,0,0,0,0.057,NA,NA,altricial,NA,NA,NA
Setophaga_ruticilla,PASSERIFORMES,-0.994,2.485,-0.223,Migrant.Short,4626.621,NA,1.239,1.414,1.584,0.079,0.015,NA,NA,0,1,0,0.073,11.75,8.75,altricial,Facultative,Solitary,NA
Sialia_mexicana,PASSERIFORMES,-0.222,3.334,0.102,Migrant.Short,1653.943,NA,1.218,1.36,1.329,0.03,0.01,NA,NA,0,1,1,0.114,13.7,21.8,altricial,Monogamous,Solitary,Aggregation
Sialia_sialis,PASSERIFORMES,-0.062,3.384,0.236,Migrant.Short,2060.728,NA,1.293,1.468,1.375,0.071,0.012,NA,NA,0,1,0,0.071,15.1,18.4,altricial,Facultative,Facultative,Aggregation
Sigelus_silens,PASSERIFORMES,0.01,3.343,0.329,Resident.MidLat,0,0.001,1.374,1.446,1.374,0.016,0.009,-1.519,-0.976,0,1,0,0.064,14.5,16,altricial,Monogamous,Solitary,Bonded
Sitta_canadensis,PASSERIFORMES,-0.584,2.349,0.258,Migrant.Short,1372.04,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.172,12,19.5,altricial,Monogamous,Solitary,Aggregation
Sitta_carolinensis,PASSERIFORMES,-0.155,2.877,0.409,Resident.HighLat,0,6.266,1.334,1.436,1.334,0.049,0.016,13.248,-5.094,0,1,1,0.162,12,14,altricial,Monogamous,Solitary,Aggregation
Sitta_pygmaea,PASSERIFORMES,-0.558,2.44,0.237,Resident.MidLat,0,6.116,1.281,1.375,1.281,0.035,0.013,9.861,-5.736,0,1,1,0.173,15,18,altricial,Monogamous,Solitary,Bonded
Sittasomus_griseicapillus,PASSERIFORMES,-0.551,2.639,0.139,Resident.LowLat,0,0,1.621,1.646,1.621,0.017,0.013,0.334,1.388,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
Smicrornis_brevirostris,PASSERIFORMES,-1.238,1.887,-0.16,Resident.MidLat,0,0.001,1.365,1.384,1.365,0.008,0.009,-2.864,-0.615,0,1,1,0.057,19.5,18.5,altricial,Monogamous,Solitary,Bonded
Speculanas_specularis,ANSERIFORMES,1.808,7.104,0.205,Migrant.Short,588.587,NA,1.374,1.371,1.31,0.052,0.013,NA,NA,0,1,0,0.148,30.5,NA,precocial,Monogamous,NA,Pair
Sphecotheres_viridis,PASSERIFORMES,0.825,4.886,0.343,Resident.LowLat,0,0,1.499,1.702,1.499,0.026,0.011,1.046,-0.241,1,0,1,0,16.5,14,altricial,Monogamous,Facultative,Aggregation
Sphyrapicus_nuchalis,PICIFORMES,0.239,3.821,0.308,Migrant.Short,1747.001,NA,1.192,1.32,1.324,0.035,0.011,NA,NA,1,1,1,0.076,12.5,27,altricial,Monogamous,Solitary,Solitary
Sphyrapicus_varius,PICIFORMES,0.262,3.91,0.285,Migrant.Short,2838.064,NA,1.14,1.368,1.483,0.084,0.016,NA,NA,1,1,1,0.078,12.5,27,altricial,Monogamous,Solitary,Aggregation
Spindalis_zena,PASSERIFORMES,0.259,3.749,0.364,Resident.MidLat,0,0.001,1.521,1.663,1.521,0.02,0.013,0.93,1.435,1,0,1,0.012,NA,NA,altricial,NA,NA,NA
Spiza_americana,PASSERIFORMES,0.049,3.666,0.198,Migrant.Short,3980.416,NA,1.406,1.465,1.545,0.049,0.013,NA,NA,0,1,0,0.166,12.5,10.25,altricial,NA,NA,NA
Stachyris_whiteheadi,PASSERIFORMES,-0.195,2.948,0.332,Resident.MidLat,0,0,1.698,1.629,1.698,0.016,0.014,0.64,2.388,1,1,1,0.185,NA,NA,altricial,Monogamous,NA,NA
Steganopus_tricolor,CHARADRIIFORMES,-0.432,4.111,-0.514,Migrant.Long,8717.762,NA,1.192,1.349,1.448,0.056,0.015,NA,NA,0,1,0,0.057,23,0.1,precocial,Facultative,Facultative,Aggregation
